,리뷰
993,정말 배달분 너무 몰상식하네요.. 12시 다되가서 배달받게 되는거라 소리치지말고 전화달라 분명 메모도 남겨놨는데 주택가에서 고래고래 소리치며 오네요; 결국에 옆집 주인집 할머니 잠깨서 나오시고 죄송하다 제가 다 굽신거리고.. 메모 안남겨놨더라도 자정다되가서 주택가에서 소리치면서 오는게 상식적으로 말이되는건가 싶네요 화가나서 배달분께도 말하고 사장님께도 말했는데 대충 죄송하다고만 하고... 돈주고 사먹는건데 기본적인 매너만좀 갖춰줘야하는거 아닌가요..
1009,맛있었ㅇ어요 흠잡을때가없네요
1049,핫윙은 정말 맛있었어요!
1087,배송은 느린 편이었고 맛은 괜찮았어요. 그런데 양이 많이 적었단 생각들어요.
1120,맛은 있지만... 파스타 시켰는데 포크를 안가꼬오면... 장소가 장소인지라ㅠ 어쨋든 뿔어서 먹었는데 맛은있어서 다행
1168,정말 제가 고구마피자를 되게 좋아하는데 앞으로 고구마피자먹을때는 여기서 시켜야겠어요 ㅋㅋㅋ 너무 맛있네요?
1206,배달이 한시간째 안왓는데 무슨리뷰를남겨
1217,가격이저렴해서 그런지 맛이좀 떨어지는 ㅡㅡ
1225,피자에선 곰팡이맛나고 치킨에서 오래된닭맛이라해야되나 이상한맛나고 재료관리 신경좀 쓰셔야겠네요 너무실망입니다
1228,오랜만에 먹으미 맛있네요
1232,주말에 고생하시는건 알겟는데 치킨은 너무 기름진게 해놓은지 오래된거같고 피자는 다 식어서왔네요 부모님이랑 오랜만에 시켜먹엇는데 먹으면서 어찌나 죄송하던지;;
1262,소스 추가 주문했더니 다 터져서 배달되고 피자는 그냥 빵에 치즈 올린가네요 치즈와 빵사이에 소스가 없는건 실수인지 레시피가 원래 그런지 알길이 없네요 ㅋㅋㅋ 에효
1283,저번에 시켰을때는 맛있고 배달도 빠르고 좋았는데 이번에는 간장치킨시켰는데...뼈밖에없고 진심 돈이아까웠음...너무아쉽네요...꼭먹다남은거 먹는기분이랄까..ㅜ먹다별로여서 두조각먹고 안먹음..사진을 안찍어놔서 아쉽네요ㅜ
1337,가격이 올랐으면 표시를 해야지 2만원대면 2천원 더내고 다른데서 시켜먹지 뭐하러 여기시켜서 먹냐
1387,주문한거랑 다른게 왔네요...
1527,맛있지만 양이 적은
1533,양도 예상했던거보다 작았고 치즈토핑까지 더했음에도 치즈양 정말 실망스러웠음.. 다음부턴 기본은 되는 브랜드피자 주문하리라 다짐 ! 그흔한 조그마한 사이즈 콜라도 없음
1584,ㄷㅇㄷㅅㆍ볻ㅅㆍㄷㅂ
1602,이 한겨울에 다 식은 피자가 왔네요. 내돈주고 피자 시켜먹는일이 거의 없는데 갑자기 너무 먹고싶어서져 시켰는데 실망이네요. 피자는 치즈때문에 먹는다해도 과언이 아닌데 다먹고 남은 피자 먹은 기분이네요..배고파서 그냥 먹었지만 다시 시킬지는 피클때문에 고민할듯하네요. 피클은 먹을만합니다.
1604,맛있게 잘 먹었습니다
1615,그럭저럭.먹을정도이네요
1620,맛있어요. 건강하게 소화가 잘돼요. 근데 배달요청에 남긴 글좀 보세요
1628,가격대비 쏘쏘 토핑이 좀더 많음 좋겠네요
1634,여기 맛있다고하는애들 진짜냐? 솔직히 그닥인데 냉정하게 평가하자 시켜먹는애들 한번더 고민하고 시켜먹어라 진짜
1640,피자 맛은 괜찮은데 이렇게 구겨져 왔어요. 피클 통은 개저서 소스랑 콜라병 밑에 젖였어요.. 기분 나빠서 무늬 합니다.
1656,치즈가 덜 짜고 덜 느끼한 점이 장점이라고 생각합니다. 받는데 1시간 걸렸는데 피자가 좀 식어 있었습니다. 명절 연휴기간이라 그랬던건지 잘은 모르겠지만 좀 실망이네요.
1668,배달 다른곳은 다 집까지 잘해주는데 여기만못들어오는게 이상
1691,오늘은 배달이 늦게와서 맛이별로네요
1733,씬피자로 시켰는데 너무 식은피자가 왔네요..만든지 1시간은 된것 같은..
1752,다 식어서 옴. 피클은 샜고. 딴 것도 아니고 피자가 식어서 온다는 건 용서가 안됨
1753,굿 추천 스파게티양많음
1754,날씨가 추워서 인지 식은피자였어요 ㅠㅠ 그래도 담백하고 맛있는피자였구요 다음날 데워먹으니 더 맛있었어요 샐러드 신선했고 파스타도 무난했어요
1838,배달도 늦고 맛이 정말 너무 최악이였어요 늦어서 치킨이 식은건지 모르겠지만 아무리 춥다지만 완전 다 식어서왔어요 치킨 튀김은 다 불어서 바삭함은 전혀없고 감자튀김은 퍼석하다 못해 먹지 못할지경이네요 워낙 배고픈데다 늦기까지해서 꾸역꾸역 먹었는데 세네조각 먹고 배 조금 차니깐 짜증이 확밀려오면서 도무지 못먹겠네요.. 자주 시켜먹었는데 정말 너무 실망스럽습니다 돈 갖다 버린기분이네요ㅡㅡ
1844,살은 촉촉하나 튀김이 누누해요
1848,항상 배달하시는분들 빨리빨리 배달하셔야하는것 같아서 오토바이 소리 나면 대충 눈치로 나가서 받는데.. 이번에도 소리나서 나갔더니 크락션을 울려대서 다른집도 나왔더라구요? 그분한테 주시길래 제께 아닌갑다하고 들어갔는데 잘못배달한건지 일분쯤있다 배달왔습니다하고 소리를 질러대면서 오는데 생각이있으신건지 진짜.. 배달하는분들은 그냥 웃으면서 헤헤하고 가면 그만일지 몰라도 저같은 세입자는 집주인 눈치를 봐야해요;; 그냥 와서 전화하면 되는걸 왜 그러시는건지 정말 이해를 못하겠네요..ㅋㅋㅋ 덕분에 기분좋게 주문하고 정말 기분더러워졌네요
1849,왜 늦은밤에 배달을 시켰는데 배달분은 주택가에서 소리를 고래고래 지르면서 오는걸까요;; 옆집에 집주인 할머니 사셔서 10시쯤 되면 주무시는데 11시에 배달와서 문두드리면서 소리질러서 저번에도 할머니 깨셔서 나오셨는데 이번에도 소리를 고래고래 지르시네요.. 이러면 어떻게 주문을 또 하나요? 보니깐 배달대행인것 같던데 배달대행 업체에도 기본적인 예의는 지켜달라고 말하셔야하지 않나요? 부탁드리려고 매장 전화해서 좋게 말 알바분은 웃으면서 네~그러셨어요 하시는데.. 화나라고 그러는건지 참 기분이 안좋네요;;
1878,1시간 넘게 걸리고 배송 잘못왔다갔어여
1907,배달은 느리고 맛은 무난하고 양은 적당히많았어여
1933,리뷰 같은거 한 번도 남겨본 적이 없는데 이건 꼭 남겨야겠습니다 한 2달 전에 여기서 카레순살을 먹었는데 꽤 괜찮아서 그저께 양념순살과 마늘순살을 시켰습니다만 일단 튀김옷이 너무 눅눅하고 두껍고 치킨을 먹는데 지방인지 껍질인지 물컹하게 자꾸 느낌이 나서 다 뱉으며 그래도 꾸역꾸역 먹는데 치킨 살마저 뭔가 딱딱한 느낌이고 색깔도 어둡고 잡내까지 나서 도저히 먹지 못하고 거의 다 버렸습니다 거기까지는 그렇다 치고 좀 달라졌나보다 다음엔 안시켜야지 했는데 다음날 새벽 6시에 토를 하고 하루종일 배아프고 메스꺼워서 아무것도 못먹었구요 누
1934,양은 많은 편이구요. 맛은 쏘쏘입니다. 양념은 매운양념 맛이 따로 있어서 그런지 전혀 안맵습니다. 마늘 맛은 처음 먹어봤는데 실망했어요ㅠ_ㅠ 왜인지 모르게 말린 바나나맛 같은게 나고 전체적으로 둘다 느끼한 맛이 심했어요. 고기부분도 전체적으로 비계? 같은 부분이 많은것처런 느껴졌구요. 파에는 따로 소스가 없어서 파는 먹다 남겼어요. 다른 파닭 시키면 소스도 같이 주는곳이 많은데 소스도 같이 주시면 훨씬 더 좋을것같습니다. 배달은 초기안내45분  실제로도 비슷하게 걸린것 같습니다.
1943,배달예상시간55분보다 15분가량 늦고 치즈토핑추가한건 다 돌처럼 굳어있고 치킨은 식어있고 감자튀김은 포장종이가 기름에 떡져서 다찢어지고 감자튀김은 눅눅해서 먹을수가 없었네여. 치킨은 데워서 먹긴했는데 맛은있지만 좀 따뜻하고 치즈도 녹아있을때 먹었으면 정말괜찮았을꺼같은데 리뷰보고 시켰는데 기대도큰만큼 실망도 정말컸습니다. 배달원이 길을 못찾아서 늦은거일수 있겠지만 배달원에게 길을 못찾고 이러이러해서 늦어서 식었을수있다 라고 사과라도 받았으면 화가 나지 않았을텐데...아무튼 음식먹는 내내 내돈내고 먹는 음식이라 그런지 엄청 불쾌했어요
1945,ㆍ
1965,저번에 감자튀김이 아래 있어서 먹기 좀 그랬는데 이번에 올려달라고 하니까 올려주셔서 넘 좋았어요 ㅎㅎㅎ 근데 가격이 갑자기 천원이 올랐네요ㅠㅠㅠㅠ 흑...ㅠ 배달이 40분걸린다구했는데 1시간이 넘어서 와서 좀 아쉬웠습니당 ㅠㅜ
1969,왠만하면 맛있든없든 걍먹는대 치킨 너무 물컹물컹하고 너무 느끼해서 같이온 파랑 무다먹어도 느끼해서 속이 거북해져서 다토함 그리고 감자도 시켯는대 감자도 그냥 일반 냉동감자 다발로와서 이걸 먹으라고준건지 버리라고준건지도 모르겠음 이런치킨 내인생에 치킨먹고 토한적 처음임
1980,파채는 냄새나고 치킨은 눅졌네요 양은 많고 배달은 빠릅니다
1995,튀김 옷이 너무 두꺼워서 다시 먹을 생각은 없네요
2008,오늘은 배달이 한시간 반이나 걸렷네요 ㅠㅠ
2032,그냥그랬음 리뷰가많아서기대했는데 튀김도두껍구 보통이었습니다
2037,핫양념시켰지만 양념이 왔어요
2053,배달 오는 속도도 빠르고 양도 괜찮은데 맛이 별로에요. 순살 치킨 크기가 한입에 먹기 좋은 크기로 알고 있었는데 여기는 두 입도 모자랄 크기의 치킨도 있고 치즈 토핑은 딱딱하게 굳어서 오고 매운양념맛이 달기만 하고.. 별로에요
2068,배달 빠르고 양이 많아서 좋긴했습니다 하지만 치킨이 배달속도에 비해서 너무 눅눅했고 덜 익은거 같았습니다 주말이라 이해하지만 너무 별로였습니다
2088,리뷰보고 주문했는데 기대가 컸나봐여. 우선 맛은 보통.. 단지 좀 달다는거? 그래도 맛나게 잘 먹었어얘
2096,콜라가 안왔습니다
2107,..........
2141,배달만 좋았어요 양은 많다고 해서 사켰는데 그닥~
2147,배달 넘 느렸고 치킨두 바삭하지않아서 제스타일은 아니었어요 근데 치킨은 크고 양도 많긴했어요~
