,리뷰
7115,솔직하게 리뷰 잘안쓰는데 일단 다른 리뷰들이 좋길래 처음 시켰는데 일단 비쥬얼 좋았습니다. 보쌈 첫 입 딱 먹자마자..고기냄새가 너무 나길래 왜러지 했는데 씹는순간 알겠더이다. 고기가 얼마나 퍽퍽 한지 진짜 마누라랑 먹다가 밥하고 김치만 먹었습니다. 냄새도 너무 심하고 김치는 짜고 달고 ..에휴 막국수는 서비스라지만 면은 불대로 불었고 양념소스는 고추장 물에 설탕 푼거같고 왠만하면 리뷰 안남깁니다. 내 보쌈만 그랬나요?? 고기를 보관 해놨다 다시 대쳐서 주는 느낌 확 받음 고로 다신 안시킴
7128,막국수다뿔구고기애서냄새나네요
7161,1. 콜라 배달 누락 2. 상추 딸랑 5장 3. 다행히 고기는 맛있음 4. 배달은 빠름 고기외에는 좀 양이 부족하네요
7174,배달 빠르고 양도 많은데. 아쉬운건 위에 덮힌 고기가 오래된 것인지 바짝 말라있더라구요. 딱딱해서 먹을수가 없었네요. 음식은 많은데 대부분 남겼어요
7280,너무 친절하고 좋아요!!^^
7289,맛있어요 근데 좀 말랐어요 ㅜㅜ 마르는거 방지할려고 온수팩 넣어주신거죠? ㅜㅜ 맛있긴해요
7298,배달이 너무 늦었어요ㅠㅠ 1시간 15분 걸렸네요ㅠㅠ 보쌈은 부드럽고 맛있었어요~
7317,첨에뜯었을땐양이 많지않은거같았는데 먹다보니 양이꽤많더라고요 처음시켜먹어보는데 맛도좋았어요 서비스로주신건가요 막국수도맛있었습니다 다음에또시킬게요
7339,배달은 주문한지 두시간있다가 왔어요 족발두 완전 어이없는 맛 족발이 물컹물컹 한 동안 족발 먹기 싫을 것 같아여
7348,배달 넘 느리고 불족 너무너무 매워요ㅠ 앞다리살은 역시 맛있음
7410,무김치도 더 챙겨주시고 막국수 서비스도 맛나게 잘먹었습니다. 오늘은 배달 예상시간보다 더 늦게왔고(1시간걸렸어요) 음식이 평소보다 많이 식어서와서 아쉬웠어요~맛은 한결같네요~~?
7412,무난해요. 매운맛 맛있음 근데일반은고기에기름이넘많아요
7447,맛은 있었는데 양이 조금 부족했어요...
7465,배달은 빠르고 깔끔했습니다. 막국수도 많이 주셨고요... 하지만 안타깝게도 맛있다고 할 수가 없습니다ㅜㅜ 서비스는 좋았지만 음식은 맛인지라... 아쉽습니다.
7468,항상 맛잇게 잘먹고 있어요~~~ 다만 오늘은 비오는 주말이라 그런지 배달이 넘 늦긴 했네요 ㅠ 그래도 맛있으니까 용서를.... ㅋㅋ
7469,정말 최악이에요. 배달한지 두시간 걸렸어요. 같은 지역 주문한거 기달리다가 한꺼번에 배달하더라고요. 음식은 다식고 정말 이때까지 시킨 음식점중 최악의 서비스입니다
7536,전 막국수 돈주고 사먹었습니다.. 막국수 익지도 않았고..뿔었네요.. 딱 설익으누라면 뿔여먹는 기분? 족발은 맛있네요.. 족발만 맛있네요..
7540,양이 많지는 않지만 맛있게 잘 먹었습니다~ 근데~리뷰 약속 말씀드렸는데~ 서비스 막국수는 안 주셨네요ㅜㅜ 막국수 좋아해서 따로 시키고.. 추가 막국수 따로 달라고 부탁까지 드렸는데.. 두 개 합쳐 주셨다기에는 양이 너무 적고.. 아쉽네요~~어쨌든 약속은 약속이니 리뷰는 달아드립니다~
7579,족발은 맛있는데 사이드로 온 것들이 너무 별로에요ㅜ 무김치는 너무 짜고 막국수도 오래된 것처럼 면도 다 굳고 양배추도 색이 변해있어서 먹기가 좀 찜찜하네요... 그래도 족발은 맛있어요;;
7608,너무 맛있게 잘 먹었어요 근데 배달이 좀 느리고 마늘이 적었어요. 반찬도 무대신 양파주셨으면 더좋았을것같은데 아쉽네요
7623,맛있어요 서비스 막국수도 혜자예요~ 굳굳
7642,도야족발 좋아해서 많이 시켜먹는데 장안점은..왜이런가여ㅜ 족발 물도다 터져있고 양념이랑 주먹밥 종이까지 모두 엉망이네요ㅠ
7668,다른 리뷰가 좋아 기대했으나 배달이 넘나 늦게왔고 막국수도 매번 주는건 아닌가봐요. 맛은 뭐 그냥저냥 정도였어요
7689,후기도 좋고 뭣보다 사장님이 자신감 있는 당찬면이 있는듯해서 첫주문 ! 1. 배송: 벨 누르지말아달라 세세히 메모남겼으나 헛수고 해맑게 메모 안읽었다는 배송하는분께 모라할수도 없었으나 참... 2. 맛: 불족발 물기가 너무 많고 비려 거의 못먹음 기대를 너무 한듯 ㅠㅠ 그러나 일반족발은 부드럽고 맛있었음 반반 주문한걸 너무나 후회
7709,정말 맛있고 쫄깃한 족발을 알게 해주신게 도야족발이예요. 그런데 오늘 반반에서 피비린내가 좀 나는 부위가 있네요. 불족발은 없어서 못먹는데 오늘 온 그냥족발에서 살코기 부분에 핏물이 고여있었어요. 덜익은 것 이겠나마 그부위만 그렇고 불족은 완식했습니다. 오늘 눈 많이 오고 바쁘셨을거라 생각해요.
7735,음식 아직 안 왔습니다!! 무슨 리뷰를? 어이가 없네요.
7813,리뷰쓰면 막국수주신다길래약속해서 씁니다. 일단막국수..면 팅팅뿔어서왔습니다..써비스라 퀄리티가이런건지..심해서 먹지도못했죠 전 마늘족발시켰습니다..따뜻하게온건좋은데요.. 소스에 엉망징창되서 온족발 껍데기와살코기 다분해되서 엉망징창으로왔더군요..살도안붙어있는펴다귀는..양채우기용인지..리뷰보고 기대했으나..어마어마한 실망이네요
7858,... 배달느림
7876,ㅣ이거 솔직히 써야하는건가요? ㅋㅋㅋ개인적인 취향이지만? 돼지냄새가 좀나는거 같고 ? ㅋ 별루네요ㅜㅜ 밥을 한끼도안먹어서 기대하고 먹었는데 ㅜㅜ 뜨거운 족발을 좋아라하시는분은 뭐 좋아라 할수도 있을거 같으네요 ㅡㅡ
7908,리뷰한다고 메모남기면 막국수 준다해서 남겼더니 오지도않고 족발은 뼈만잔득 왔네요 다음에시키지 않을겁니다
7916,리뷰는 남겨요 하지만 쟁반국수는 주지않으셨군요 요기요 주문이다그렇지요 약속보다는 홍보광고 우선이지요 뭐그렇다구요 먹어보니 맛도없내요 뭐 쟁반국수 않와서 맛없는건 아니구요
7922,음.... 다 국물이 다 터져서 왔어요.. 이번에는 그냥 먹을게요.. 봉지안에 국물이 흥건... 맛은 있습니당
7933,맛굿 또굿 계속굿 무양념뒤집어졌습니다~~ 맛때문에 배달 이상해도참아지는족발 꿀맛입니다오늘도^^
7950,부모님은 맛있으시대요~~전 좀 쫄깃한걸 좋아해서요 따뜻하게오니 좋네요
7952,저번에 너무 맛나게 먹어서 주문했는데 이번엔 비계가 너무 많아 느끼했네요 ㅡㅡ
7983,배달 1시간 넘게걸려서 전화로 언제오냐고 물어보는데 전화받는분 말하는게 너무 공격스럽고 기분나쁘네요. 주말에 일하기싫은티 팍팍나는것처럼 짜증스럽고 불쾌했어요.
7998,리뷰에 맛있다는 말이 많아 주문해봤는데 돼지냄새도 좀 나고 제입맛엔 별로네요~
7999,원래 앞발은 맛있으니깐 족발 먹을만한데 양념무가 제대로 쉬어서 입에 넣는순간 입에 쉰네가 오지게 퍼져서 내 입맛을 다 망쳐서 빡치게 족발 제대로 못먹음. 그리고 배달하는분 왜케 어리버리함? 요기요에 주문시 요청사항 써놓은거 보지도 않고 손님을 여러번 똥개 훈련시킴? 그리고 여긴 국물류나 음료도 기본으로 안줘서 먹다가 목맥힘.
8042,맛있긴한대 그쫄깃한맛이 조금사라진듯
8051,야들야들 맛있어요? 특히 족발 특유의 냄새에 민감한 분들에게 추천 ~*
8099,배달ㅜㅜㅜ 업체면바꿔야겠어요 막국수와 주먹밥족발 변함없는맛굿입니다
8125,맛은 평범히 맛있음. 절대 맛없지 않은데 특별히 더 맛있지도 않음. 족발에 인생을 걸었댔나 어디 그렇게 적혀있어서 기대 많이 했는데 그정도는 아녔음. 막국수도 맛있음. 양이 문제임. 28000원짜리 시켰는데 둘이서 좀 먹으니 없음. 주먹밥이랑 리뷰이벤트로 받은 막국수 아녔으면 28000원짜리 2개 시켜야 할 정도의 양이라고 봄.
8127,배달은 빨랐으나 맛이나 양은 정말 아니네요. 리뷰가 많아서 시켜봤는데 왜 많은건지 원...
8141,배달 한시간 넘었는데 안오네요..맛은 맛있을꺼니깐 괜찮은데 배고파서 죽을꺼같아요 괜찮아요 아직 안 죽었으니깐....ㅎㅎㅎ
8151,배달이 빠르고 서비스도 좋았지만 족발에서 발썩은 냄새가 나서 거의 손도 못대로 다 버렸네요 한동안 족발 못먹을듯
8199,냉채족발에 살이 아예없군요 쟁반국수는 좀 많이 달아요 불족도 비계위조예욤 살아먹고 싶었는데 아쉽 ㅠ
8207,다음에도잘부탁해욯ㅎㅎㅎㅎㅎ
8221,족발은 맛은 괜찮았는데 음식이 새어나오고... 밀봉된 반찬통도 제대로 랩핑이 안되어서 이것도 국물이 새어나온채로 배달왔네요. 나무 젓가락이 젖어서 쓸수가 없었네요..
8250,맨날 시켜 먹는데 요기요로 처음 주문해봤어요 처음으로 족발 보쌈 세트 주문했는데 둘이서 먹기엔 양이 너무 많아서 남겨놨다가 데워서 먹었는데 그래도 맛있었어요ㅎㅎ 근데....배달이 너무 늦게왔어여ㅜㅠ 그래도 맛있고 맛있으니까...또 시켜 먹을거에요ㅎㅎㅎㅎ
8280,점점 맛이 없어져요.
8305,두번째시킨건데 불족은 첨 시켜봤는데 잡내가 좀나서 실망했어요 그러나 앞다리는 역시 맛있었구요 서비스주신 막국수 달달했네요 상추랑 절임무는 좀 허접해서 손이안갔네요ㅠ
8309,불족 앞다리랑 막국수 진짜 맛있는데 2명이서 먹었는데도 가격대비 배가 덜차네요. 배달은 빨랐고 기사분도 인사 잘 해주셨습니다!
8313,양이 적었지만 맛은 깨끗했어요
8314,맛은 항상 조아요
8331,족발에 냄새도 안나고 맛있게 먹었어요 불족은 저한테는 안매워는되 애들은 맵다고 하네요
8342,막국수이벤트끝났나보네요 댓글 안씀
8348,본점이라해서 뭐 특별난거 있나했는데... 서비스 막국수도 여긴 안주네요... 맛은 다 비슷비슷 먹던데서 먹어야겠어여
8371,지난번 배달때는 불어서 면한가닥도 분리안되는 막국수가 와서 별점을 조금 줬습니다. 그랬더니 이번에는 불족을 일부러 못먹을 만큼 맵게 만들어 보내네요 이제 다신 여기선 안 시켜먹어야 겠네요
8406,배달하시는분이 일이 힘드셔서 삶의 활기가 필요하신건지. . . 쥐불놀이를 하다 가져다주셨나봐요 어쩐지 전해주시고 허겁지겁 문을 닫고 나가시더이다. . . 족발은 맛있어요~ 배달만 조심히 가져다주시면 좋겠습니다
8417,맛있게잘먹었습니다 깔끔한편이예요~
8462,막국수 맛있기 힘든데 달달하고 족발이랑 같이 먹기 너무 맛있었어요!! 나중에도 또 시켜먹겠으려구룡 오늘 잘먹었습니다♥?
8478,대 사이즈가.. 너무 작아요.. 맛도 보통입니다만 배달은 빠르고 좋았어요
8483,마늘족발 처음 먹자마자 살짝 매운맛이 났는데 밑에 깔려있는 소스랑 섞어먹으니 그때서야 달짝지근해서 완전 맛났어요. 냉채족발+마늘족발 세트도 판매했으면 좋겠어요. 배달이 40분걸린거랑 빨간보쌈무가 맛이 좀 없는게 아쉬웠지만 재주문 할 예정입니다.
8504,양이 조금 적네요 그것빼곤 모두만족합니다
8506,배달은 엄청 빠르네요! 양 보통 맛 보통 :)
8507,맛은있는데 족발이 너무 뻑뻑살만 많이왔어요ㅜㅜ 애기자고있어서 전화주시라했는데 벨도누르시고..
8520,맛잇엇어요 감사해용~~~
8542,ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
8544,소자는 1인분이네요~~ 맛도 그냥~
8570,족발대자양이 너무한거아니요 이젠그만시켜야하나
8591,배달이 너무 늦게 와요. ㅠㅠ
8592,진짜 35000 원짜리 족발양이 너무하네요 떡복이는 주다가만 양이고 실망이크네요
8596,반반중짜딩 양도 부족하고 맛도 없구 배달만 빠르고 다신은 ㅜㅜ
8605,양은 2명이서 먹기 충분했어요. 족발떡볶이튀김주먹밥은 그냥그냥 먹을만했어요. 다만 막국수가 너무 달더라구요. 막국수 좋아해서 항상 다 먹는데 여기껀 몇 번 먹다 다 버렸어요. 그냥 그랬지만 또 시키진않을 것 같아요. 무엇보다 배달이 한시간 이상이 걸렸네요.
8611,반반소시켰는데 족발양이원래저래요? 28000치고너무심하네요ㅡㅡ족발이무슨 몇점?다잘라져있고 너무하네요
8634,ㅎㅌㅊㅎㅌㅊㅎㅌㅊㅎㅌㅊ
8635,음식은 평범했고 너무 불친절 하네요. 공지는 잘 보이지도 않은데 바로 옆임에도 주소가 정확하지 않다며 “현금으로만” 3000원을 더 달라고 요구하는데 어이없네요. 가격은 시중 돈까스에 비해 비싼데 왜 배송비는 따로 받나요? 게다가 두 개를 시켰는데 젓가락은 하나만 보내주고 전화는 먼저 끊어버리는 등 너무 불쾌했습니다.
8699,음.양도많고 배달도 빨랐는데..생각보다 소스가.너무달아서....금방질렸어요ㅠㅠ 그게좀아쉬워요ㅠㅠ
8732,양 많아서 남겼어용 맛있구 두툼하구 좋아요
8743,소스가 나완 안맞네요
8809,양이 많이 줄어든 것 같네요. 생선가스 곱배기가 맞나 싶을 정도고... 더 심한건 수프... 예전엔 꽉 채워보내주시더니 이제는 절반정도 밖에 안 넣어주시네요 예전에는 양이 정말 많아서 가격은 비싸도 아깝지는 않았는데 앞으로 11000원 내고 이거 먹을 일은 없을 것 같아요ㅎㅎ
8814,문두드리지말고 그냥 앞에 놓아두시라고했는데 밤늦게 시끄럽게 두드리시네요 맛이나 양은 너무 만족스럽습니다
8815,맛있어요 근데 양이 너무 작아요ㅜㅜ
8820,맛있어용 매워서 스트레스 확~ 날아가용~
8826,배달도 안왔는데 배달 완료가 떴네요 뭐하는 건지 다시는 주문 하고 싶지 않아요
8832,배달이 점점 느려져요 그것빼곤 만족입니다
8836,배달도 1시간 넘게걸리고 보통맛이 무슨 미친듯이 맵고.. 설명이라도해놔 OOOOOOO 전화해서 따지니까 순한맛이 매콤한거고 보통맛이 매운거라고? 매운맛은 OOOOOOO OOOOO
8842,오돌뼈 매운맛.. 리뷰보고 선택햇는데 마냥 맛있게 매운느낌은 아니고 매운음식 잘먹는 편인데 5번 정도 먹고 바로 위가 꼬이는 통증 시작 3일 고생 ! 맛이 없는건 분명 아닌데 음식이 내려가면 통증으로 괴로운...
8858,맛도 괜찮고 양도 좋아요 근데 배달이 별로네요 개가 집에있으니 음식을 두고 가라고 신경써서 메모를 썼는데 아예 무시하고 벨도 누르고 문까지 두들기니 개가 정신없이 짖어댔어요 그냥 두고 가라고 말했더니 미안하다는 사과도 없네요
8871,닭발이 100사이즈라면 여긴 200사이즈..배달 한시간걸려왔고 배달시간만 빼면 여러모로 좋은듯.다음부터는 한시간 정도 뺘놓을수있는 시간 생각해서 미리 주문해야겠다란 생각으로 닭발을 먹었고 일부러.유리문비번도 쳐놨는뎅 밖에서 오토바이 클락션 누르고...추운데 음식 받겠다고 받는데 카드결제하는데 덜덜떨먄서 음식들고 기다렸네요.그거 싫어서 출입문 비번 알려드린건데..다음부터 요청사항에 있는것 잘 들어주셨으면 좋겠어요.
8902,순한맛 시켯는데도 너무 매워서 먹을수가 없었어요 정말ㅠ 엽떡도 볼케이노도 잘먹는데 여긴 입이 아픈맛이에요..... 두개먹고 못먹엇네요
8907,이집은닭발장사접어야할듯 닭발이질기고 뼈발골이안됨
8941,예전보다 더 양도 적고 닭발도 질이 않좋은 거 같아요 항상 여기서 시켰는데..
8989,ㅎㅎㅎ닭발 중간맛으로 시켰는데..어쩜 이리 하.나.도 안매울수가 있는거죠? 순한맛 정도도 아니고..그냥 싱거워요ㅎㅎㅎㅎ 싱거운닭발 첨 먹어봐서 헛웃음이..저번에 시커먹었을땐 괜찮았던거 같은데ㅜㅜ 색깔과 반전인 맛에 깜놀했습니다^^;;
8992,일단 음식이 미지근함 그리고 떡이 딱딱함 덜 익은것같은 느낌 음식대충한느낌이네요
8996,숟가락을 달라고 메모 했는데 안 왓넹 화가 납니다 맛은 그나마
9008,양이 좁 아쉽내요 양좀많았으면
9014,닭발 살이 거의 없네요 ㅜㅡㅜ 순한맛인데 엄청 매워서 먹다가 남겼네요 ㅜㅡㅜ 살이 통통하고 순한맛이길 기대했는데 ㅜㅡㅜ 아쉬움이 크네요. 순한맛 시키시는 분 꼭 순하게 해달라고 메세지 남기셔야 할듯요. 참고하십시오.
9017,배달이 좀 많이 늦었습니다.맛있다고해서 시켰는데 많이 실망했네요..맛있긴 한데 이렇게까지 기다리고싶은 맛은 아니에요.
9035,악 다 막 뒤죽박죽 섞여서 왔어요 배달할때 발로 가져다주시나봐요 편하게 먹으려고 배달시킨건데 불편하게 먹었네요 다음 배달은 잘 좀 부탁드릴게요~
9036,뼈없는닭발 달구 양이 넘 적어요
9088,굿굿항상맛있습니당~~
9089,닭발은 여기서만 시켜먹는데ㅎ 이번엔 양이 정말 너무 적음ㅎ
9091,순한맛. 시켰는데 매워서 도저히 못 먹겠어 두개씩 먹고 다 남겼어요
9099,양만좀조절하면좋겟습니다
9162,배달은 한시간 넘게 걸렸지만 맛은 있었어요! 같이 시킨 날치알 주먹밥이랑 딱이었습니다! 매운걸 못먹어서 가장 순한맛 시키고 배달 요청사항에 최대한 안맵게 부탁드렸더니 많이 안맵게와서 좋았습니다!
9180,리뷰에 양많다는 리뷰가 간간히 보여서 좀 기대했는데 많진 않아요..그래도 맛있었습니다
9217,닭발에 치즈 추가해서 주문해서 먹었는데 양도 많고 맛있었어요~~!!!
9220,맛은 괞찬은데 너무 늦네요한시간 넘게 기다렷오요 ㅠㅠ
9227,항상 맛있었는데...오늘은 양도 적고ㅠ 다음에는 안그러길 바랄게용
9235,양념 맛있어요 닭발 너무 흐물거림 불은 닭껍데기 먹는느낌 좀 덜 뿔려주세요
9267,한시간 넘게 걸렸지만 항상 먹던곳ㅜ
9271,오늘2시간걸렷네요 오늘진짜화가나네요 눈이와서 이해는하는데 ㅠ 닭발도 다식어서 먹지도못하겟고 오늘 정말짜는나네요 실망했어요
9272,통뼈닭발맵구 맛잇네요
9285,좀늦게왔어요 깻입들어가서. 제입맛엔별루
9291,ㅠ ㆍㅠ 불에 마니구워주시라고 말씀드렸는데 반은 굽지도않아서 닭발냄새가 심해서 반은버렸읍니다~ 바쁘시더라도 조금만 성의있게 확인한번하시고 배달부탁드려요
9302,오돌뼈가 오늘은 이상하게 왔네요 지금까지 먹던 맛도 모양도 다르더라구여. 양념도 부족하고.. 막창은 예전보다 돼지냄새가 더 나는 것 같아요ㅠㅠㅠ 오늘 이래저래 좀 아닌 것 같아요... 하지만 누룽지로 바꿔주셔서 감사합니다.
9305,솔직히 리뷰가 많길래 제대로확인 못하고 주문했는데 오돌뼈에서 냄새가 너무너무심하게납니다...; 제가 주문한오돌뼈는 상태가너무 안좋았어요ㅜ 계란찜이랑 주먹밥은맛있게먹었는데 정말 오돌뼈는 냄새가 너무심합니다...
9309,완젼실망했네요~ 마트파느것보다 맛없어요~~~
9315,음료도 주문했는데 안왔네요 신경써주세요
9333,리뷰보고 첨 주문했능데 넘 맛있고 매워서 입에서 침이 줄줄 ㅋㅋㅋㅋ 다만 배달이 넘 느려요 ㅠㅠ 아들녀석이 연신맵다면서도 잘먹네요 계란찜도 좋았어여 담번에 또 주문할께요 ^^
9346,딱히 할말이없음... 닭발 물에 불린맛이 너무 났음...
9378,매운건 어쩔수없다지만 양은 정말적네요 맛은 보통..ㅂ
9394,양이 너무 적습니다.
9403,불맛 양념이 맛있었어요. 양은 엄청 적네요.. 대짜 시켰는데.. 살은 없구 뼈만..
9407,음 다 좋은데 쿨피스가 안왔어요 ㅠ 매워서 시킨건데 ㅠ
9412,기대가컸는지제입맛엔별루였어요~
9419,마시쪙.... 담날 똥꾸멍에서 불나지만 마시써요
9422,굉장히 자주시키는 음식점이고 시키는 메뉴도 두개밖에 없어 바뀌면 바로 압니다. 원래 리뷰 안달려고했지만 사람들도 똑같이 생각하고 있는거 같아 남깁니다.. 오돌뼈 진짜 심각하게 이상해졌어요. 저번에 시켰을때 처음으로 남겼습니다ㄷㄷ 제발 원래대로 돌려주세요!!ㅠㅠ
9430,나쁘지 않아요 먹을민해요
9436,배달 예정시간보다도 늦게오고 비린맛이 낫음 ㅠㅠ
9443,너무 새까맣게 타서 암걸릴거같네요 잘라내도 양념에 까만 가루가 범벅..
9447,좋은점 새벽에도 아침에도 시킬수있음 안좋은점 1만5천원 양이 저정도임 십창렬... 맛은그럭저럭 그리고 닭고기가 다 조사져있음...다시는 안시킬듯.. 쥬시쿨 서비스로 준건 좋은데 1만5천에 양이 창렬이라 줄만함
9448,닭발은 양 많은가보네요...... 이건 너무 심하지 않나요? 15000인데 양이 너무 심해요 원가 오천원은 나오나요?.. 이건 너무하잖아요ㅠ 크기는 손바닥크기정도인데 한층으로만 깔려있어요 집어먹은 부분 집어먹자마자 바닥보임 ㅋㅋㅋ 진짜 너무 노양심 아닌가요 이정도 양은...............
9454,맛있는데 소자 20000원어치에 계란찜까지 시켰지만 둘이 먹기에 양이 적네요 양념장좀 같이 보내주시면 좋겠어요
9467,닭발 먹고 싶을때 먹을만해요
9482,맛은 괜찮은데 양이 넘 적어요.
9493,와나 한달에 7번은시켜먹는집인데. 이게오돌뼈인가요 글구 닭뼈는 4개씩먼가요 아 진짜
9506,추가한 콜라가 미배달됐습니다 다음 주문때 준다고 하네요^^
9512,////////////
9515,맵기만함 맛없음 왜맛있다하는건지 이해할수없음
9524,양이 너무 적어서 아쉽네요.
9525,매운것보다 달기만 하고 오돌뼈에서는 머리카락 나오고 자주시켜먹었었는데 실망이네요
9532,자주 시켜먹는데맛잇어요
9534,양 정말 작아요~ 맛도 별루네요~ 압구정닭발 먹다가 반반이 되서 시켰는데.. 매운거 못 먹는 애가있어서 찾다가 시켰는데.. 다 매워요~~~ 불맛 보다는 탄맛이 더 강해요.. 계란찜 서비스 없고 콩나물국이 다네요..헐~~~
9539,문 두드려 달라고했지 문앞에 주라고 하진 않았는데 두드리고 문앞에두고 그냥 슝 가셨네요. 맛은 있는데 배달이 쫌 그릏네요!!!
9566,솔직한말로다가 가성비 제로
9569,닭발을 1단계로 시켰는데도 되게 맵네요 ^^ 맛은 괜찮은데 양이 좀 적습니다
9585,맛은 있는데 양은 너무 적었어요 ㅠㅠ 매운맛 젛아하시먄 좋아하실거에요!
9588,배달 느린거빼고는 다 괜찮음
9591,양이 좀 적었습니다.맛은굿
9603,맛있어요 양이 적어서 아쉬워요 매운맛이 좋네요
9606,닭발 안맵게 해달랬는데 순하게해주셔서 너무잘먹었어요 감사합니당 항상 맛있게먹고있어요^^* 그런데 배달오신분 태도에 기분이 상당히나빴습니다 제가 주문한곳이 2층인데 1층에서 연락주시면 내려가서받겠다 했더니 곧 도착한다고 건물앞에 나와있으라 전화와서 1층으로 와달라하고 끊었는데 다시 전화와서 건물 바로앞 도로인데 어디계시냐고해서 비오는데 우산이없어서 못나간다고 1층으로 와달라고 다시말했더니 건물을 한바퀴 돌았다 시간버렸다 어디냐 짜증을 내셨습니다 원래2층인것을 1층으로 와달라는 말 계속 무시하고 건물 앞으로 부르고 그러지마세요 화나요
9609,배달도 친절했고 맛은 정말 맛있게 잘 먹었는데 양이 지나치게 적은거 같아요. 두 사람 이상 같이 먹으려고 주문하시려면 많이 감안 하셔야 할 거 같네요.
9616,다 좋은데 양이 항상 아쉬운 부분이죵 ㅠ
9620,이천원올랏는데 맛은 왜이러죠 .. 그바싹구운거같은 직화맛이 잇엇응데 오늘시킨건 매운 제육볶음네요.. 후회막심
9625,맛있지만 양이 항상 부족해요 ㅠㅠ
9627,맛은 끝장남정말 지존인듯...ㅋㅋ
9635,배송 빨라요 먹을만하구요
9636,맛은 별로.. 2단계시켯는데 안맵고... 맛도 그닥.. 배달은 빠르고 양은 많아요
9651,장점은 배달 빠른거외엔 없습니다 양은 보시다시피 주변 호프집보다 적은수준 서비스로준 콩나물국은 삶고나서 나온물을 그대로 따라서준건지 비린내가 나서 먹질 못하겠고 사진에 보이는것처럼 아무리 직화라도 탄게 너무많습니다. 양념뿐만아니라 닭발자체도 탄게 있습니다. 여러분 그냥 믿고 거르셔도 될겁니다
9655,맛있는데...!맛있는데...ㅠㅠ 양이 너무 작아요
9663,양이 가격대비 너무 적어요 ㅠ 맛은 있는데....
9669,음 일단 뼈있는 닭발 시켰는데 그냥 닭발이 왔구요! 원래 콩나물국은 두개주는건가? 잘 모르겟긴하지만 콩나물국 다 새고 닭발에 묻어있고 그랬어요! 날이 추워서 배달아저씨가 고생하시다가 실수 했나봐여ㅜ 다른 메뉴배달온거랑 봉투안에 콩나물국 파티 연 대가로 배달점수는 2점 맛은 새벽에 생각났을때 그냥저냥 해결할 정도로는 있는것 같아요!
9682,이게 2만원짜리 대자 맞아요?
9684,맛좋은 닭발인데 양이 너무 아쉬워요 ㅠㅠㅠ 그래도 다음번에 또 시킬껀데... 양이 좀 많으면 좋겠어요. 주말 배달시간 좀 넉넉히 예상하고 주문하세요
9694,리뷰에맛있다고해서 기대하면서 주문했지만 기대를 너무 많이 했나봐요.... 양이 너무적고 맛도 그렇게 기대한만큼 맛있지는 않네요.... 1단계도 너무 맵네요 다시 또먹고싶은 생각도 안들고 다신 돈주고는 사먹지않을거같네요... 기대한만큼 실망이크네요
9695,그냥아예안매움 신라면보다싱거움 깻잎은왜..... 별로에요 ㅠㅠ
9696,여러군데 주문해봤지만 이런 국물닭발은 저음인듯해요 완전 매운탕입니다 닭발에 양념이 하나도 안베인게 보이시나요??냄비에 넣고 다시끓이고 있는중입니다
9698,닭똥집먹자마자 비릿내서 맛없어요
9700,점점 닭날개가 작아지는거 같아요 ㅎ
9709,25분만에 와서 좋긴했는데요 떡볶이 담은 용기 뚜껑이 살짝 열려있어 국물이 다 쏟아졌네요... 여기저기 묻은거 닦느라 쫌.... 빨리 안오셔도 되니 봉투에 담기전에 음식들 체크좀 해주세요
9736,떡볶이는 괜찮았지만 당면은 다 뿔어서 못 먹고 버렸어요 볶음밥은 냉동인지 해서 놔둔지 좀 된건지 탄맛이 나고. 샐러드가 제일 맛있었어요
9741,제입맛엔 아니네요. 독특한 맛이예요. 좀 짜고 떡은 밀떡이고 어묵은 저렴이예요. 볶음밥은 냉동인것같고 느끼해요ㅜㅜ 샐러드는 신선합니다.
9788,주문한지 80분이지났는데 아직도 안오네요 기다리다가 배때지곪아죽것네여
9827,맛은좋은데배달이너무느립니다...
9853,맛있어요 근데 국물이 한개도 없이 뿔어서 와서 아쉽네요 ㅠㅠ
9862,약속된 시간보다 늦고 맛도 맵기만하고 양도 적었습니다
9869,세트메뉴 구성은 여기가 최고인듯해요!!
9878,맛은 있는데 양이 작아요..ㅠ
9889,양 많아보이려고 양배추가 1/4만큼 들어가있음 배달 분식 특유의 안쫄이고 국물만으로 간을 한게 느껴짐 그만큼 배달은 빠름
9897,배달비 받네요. 양 적어요. 떡볶이 많이 없고 애들이 별로 안 좋아하네요. 저는 개인적으로 크림떡볶이와 김치볶음밥이 좋았습니다! 전체적으로 양이 적어요.
9900,튀김이 정말 바삭하고 맛있었어요~ 떡볶이랑 샐러드는 소소합니당 양은 정말 작긴한거같애요 다른거를 좀 줄이더라두 떡볶이양이 좀더 많았음 좋겠어용 가격대비 양이적은듯해요
9905,배달도 느리고 떡볶이도 오래된 느낌이였어요
10063,떡복이가 맛잇엇으면 그래도 한시간반 기다린 시간이 아깝진 안을꺼 같은데 ㅠㅠ 제 입맛엔 넘 안맛네요. 급하셔서 빨리 만들어서 그러신건지 떡볶이가 맵기만하고 간이 안되어 잇어요 ㅠㅠ 후기가 좋아서 시켜봣는데 아쉽네요.
10068,양이..너무..맛은 엽떡..
10111,볶음밥 너무 하다. 떡볶이 밀떡은 왜 이래? 그나마 샐러드네 ㅜ
