업체명,카테고리,메뉴,맛,양,배달,리뷰,date
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),3.0,5.0,5.0,석쇠불고기는 맛있는데 오징어는 그냥 그랬네요 그래도 맛있게 먹었어요 양은 많네요^^,2018년 4월 15일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),5.0,5.0,5.0,맛잇어요~ 자주먹는곳이에오~,2018년 4월 14일 토요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),5.0,5.0,5.0,역대급 너무 맛나요^^,2018년 4월 9일 월요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),4.0,5.0,4.0,맛있어요 김치찌개가 매워서 좋았어요,2018년 3월 4일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),4.0,4.0,5.0,문자온 시간보다 완전 빨리와서 놀람ㅋㅋ 깔끔한 포장 굿. 김치찌개 조금 달았지만 오징어불고기랑 잘 어울려서 맛났어요^^ 배터지게 잘 먹었네요^^,2018년 2월 13일 화요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),4.0,4.0,4.0,배달 빠르고 맛있습니다,2018년 2월 12일 월요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),5.0,5.0,5.0,레알 빵정 주고싶지만....맛있어서 참습니다. .. ㅋㅋ 너어어무 매워요. 매운거 못드시는분들 고추장 레알 매워요...근데 맛있어요. 아~~~~슬프다.,2018년 2월 11일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),4.0,4.0,4.0,한번씩먹기 짱 좋아요 양두 많구여 맛두있구여 많이파세요,2018년 2월 11일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),4.0,4.0,3.0,한식 카테고리에서 제일 점수가 좋길래 처음 주문해봤습니다 맛있게 잘 먹었어요~~ 간도 안짜고 좋네요 수고하세요~,2018년 2월 4일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),5.0,5.0,5.0,여러번 시켜먹었지만. 맛나요,2018년 1월 28일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(간장)추가 선택(멸치주먹밥 추가)),3.0,4.0,3.0,맛도 보통 양도 보통 먹을만하긴 해요,2018년 1월 28일 일요일
